Typical Measured Spectrum of Semrock FF01-500/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
442.8	2.6849e-06
443.0	2.7207e-06
443.2	2.7569e-06
443.4	2.7936e-06
443.6	2.8308e-06
443.8	2.8685e-06
444.0	2.8952e-06
444.2	2.9171e-06
444.4	2.9392e-06
444.6	2.9615e-06
444.8	2.9839e-06
445.0	3.0065e-06
445.2	3.0292e-06
445.4	3.0522e-06
445.6	3.0753e-06
445.8	3.0985e-06
446.0	3.1338e-06
446.2	3.1775e-06
446.4	3.2219e-06
446.6	3.2668e-06
446.8	3.3124e-06
447.0	3.3587e-06
447.2	3.4055e-06
447.4	3.4531e-06
447.6	3.5013e-06
447.8	3.5502e-06
448.0	3.6032e-06
448.2	3.6607e-06
448.4	3.7191e-06
448.6	3.7784e-06
448.8	3.8387e-06
449.0	3.8999e-06
449.2	3.9621e-06
449.4	4.0253e-06
449.6	4.0895e-06
449.8	4.1547e-06
450.0	2.8754e-07
450.2	3.3473e-08
450.4	6.7757e-08
450.6	1.2245e-07
450.8	6.0051e-08
451.0	2.945e-08
451.2	2.1426e-08
451.4	2.1385e-08
451.6	2.1336e-08
451.8	2.1278e-08
452.0	2.122e-08
452.2	2.7315e-08
452.4	3.5842e-08
452.6	6.034e-08
452.8	1.4649e-07
453.0	2.2874e-07
453.2	1.2756e-07
453.4	7.1135e-08
453.6	4.4433e-08
453.8	2.8683e-08
454.0	2.0648e-08
454.2	2.0614e-08
454.4	2.0578e-08
454.6	2.0522e-08
454.8	2.0467e-08
455.0	2.0408e-08
455.2	2.0345e-08
455.4	2.0284e-08
455.6	2.0234e-08
455.8	2.0183e-08
456.0	5.5587e-08
456.2	1.531e-07
456.4	1.6065e-07
456.6	5.8029e-08
456.8	2.096e-08
457.0	3.7218e-08
457.2	7.1864e-08
457.4	1.0769e-07
457.6	1.5432e-07
457.8	1.747e-07
458.0	1.212e-07
458.2	8.4088e-08
458.4	6.9944e-08
