Typical Measured Spectrum of Semrock FF01-593/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
446.8	5.9483e-05
447.0	5.9218e-05
447.2	5.8953e-05
447.4	5.869e-05
447.6	5.8428e-05
447.8	5.8167e-05
448.0	5.7908e-05
448.2	5.7649e-05
448.4	5.7392e-05
448.6	5.7136e-05
448.8	5.6855e-05
449.0	5.655e-05
449.2	5.6247e-05
449.4	5.5945e-05
449.6	5.5645e-05
449.8	5.5347e-05
450.0	5.505e-05
450.2	5.4755e-05
450.4	5.4461e-05
450.6	5.4169e-05
450.8	5.3878e-05
451.0	5.3589e-05
451.2	5.3302e-05
451.4	5.3016e-05
451.6	5.2732e-05
451.8	5.2449e-05
452.0	5.2167e-05
452.2	5.1888e-05
452.4	5.1609e-05
452.6	5.1522e-05
452.8	5.1437e-05
453.0	5.1351e-05
453.2	5.1265e-05
453.4	5.118e-05
453.6	5.1095e-05
453.8	5.1009e-05
454.0	5.0924e-05
454.2	5.084e-05
454.4	5.0755e-05
454.6	5.067e-05
454.8	5.0586e-05
455.0	5.0502e-05
455.2	5.0417e-05
455.4	5.0333e-05
455.6	5.025e-05
455.8	5.0166e-05
456.0	5.0082e-05
456.2	4.8645e-05
456.4	4.6067e-05
456.6	4.3625e-05
456.8	4.1313e-05
457.0	3.9123e-05
457.2	3.705e-05
457.4	3.5086e-05
457.6	3.3227e-05
457.8	3.1466e-05
458.0	2.9798e-05
458.2	2.8219e-05
458.4	2.6723e-05
458.6	2.5307e-05
458.8	2.3965e-05
459.0	2.2695e-05
459.2	2.1492e-05
459.4	2.0353e-05
459.6	1.9274e-05
459.8	1.8279e-05
460.0	1.7805e-05
460.2	1.7343e-05
460.4	1.6893e-05
460.6	1.6455e-05
460.8	1.6028e-05
461.0	1.5612e-05
461.2	1.5207e-05
461.4	1.4813e-05
461.6	1.4429e-05
461.8	1.4055e-05
462.0	1.369e-05
462.2	1.3335e-05
462.4	1.2989e-05
462.6	1.2652e-05
462.8	1.2324e-05
463.0	1.2005e-05
463.2	1.1693e-05
463.4	1.139e-05
463.6	1.1169e-05
463.8	1.1003e-05
464.0	1.084e-05
464.2	1.068e-05
464.4	1.0521e-05
464.6	1.0366e-05
464.8	1.0212e-05
465.0	1.0061e-05
465.2	9.9114e-06
465.4	9.7645e-06
465.6	9.6198e-06
465.8	9.4773e-06
466.0	9.3368e-06
466.2	9.1984e-06
466.4	9.0621e-06
466.6	8.9278e-06
466.8	8.7955e-06
467.0	8.6651e-06
467.2	7.9029e-06
467.4	4.4874e-06
467.6	2.548e-06
467.8	1.4468e-06
468.0	8.2152e-07
468.2	8.1232e-07
468.4	8.0323e-07
468.6	7.9423e-07
468.8	7.8534e-07
469.0	7.7655e-07
469.2	7.6785e-07
469.4	7.5925e-07
469.6	7.5075e-07
469.8	7.4234e-07
470.0	7.3403e-07
470.2	7.2581e-07
470.4	7.1769e-07
470.6	7.0987e-07
470.8	7.0454e-07
471.0	6.9925e-07
471.2	6.94e-07
471.4	6.8879e-07
471.6	6.8362e-07
471.8	6.7849e-07
472.0	6.734e-07
472.2	6.6834e-07
472.4	6.6332e-07
472.6	6.5834e-07
472.8	6.534e-07
473.0	6.4849e-07
473.2	6.4362e-07
473.4	6.3879e-07
473.6	6.34e-07
473.8	6.2924e-07
474.0	6.2451e-07
474.2	6.1982e-07
474.4	6.1417e-07
474.6	6.079e-07
474.8	6.0169e-07
475.0	5.9554e-07
475.2	5.8946e-07
475.4	5.8344e-07
475.6	5.7748e-07
475.8	5.7158e-07
476.0	5.6574e-07
476.2	5.5996e-07
476.4	5.5424e-07
476.6	5.4858e-07
476.8	5.4298e-07
477.0	5.3743e-07
477.2	5.3194e-07
477.4	5.2651e-07
477.6	5.2113e-07
477.8	5.1581e-07
478.0	5.1118e-07
478.2	5.1125e-07
478.4	5.1132e-07
478.6	5.1139e-07
478.8	5.1146e-07
479.0	5.1153e-07
479.2	5.116e-07
479.4	5.1168e-07
479.6	5.1175e-07
479.8	5.1182e-07
480.0	5.1189e-07
480.2	5.1196e-07
480.4	5.1203e-07
480.6	5.121e-07
480.8	5.1218e-07
481.0	5.1225e-07
481.2	5.1232e-07
481.4	5.1239e-07
481.6	5.1246e-07
481.8	5.1309e-07
482.0	5.1401e-07
482.2	5.1493e-07
482.4	5.1585e-07
482.6	5.1677e-07
482.8	5.177e-07
483.0	5.1863e-07
483.2	5.1955e-07
483.4	5.2049e-07
483.6	5.2142e-07
483.8	5.2235e-07
484.0	5.2329e-07
484.2	5.2423e-07
484.4	5.2516e-07
484.6	5.261e-07
484.8	5.2705e-07
485.0	5.2799e-07
485.2	5.2894e-07
485.4	5.2899e-07
485.6	5.2547e-07
485.8	5.2198e-07
